"","returnerId","kickerId","gameId","playId","playDescription","quarter","down","yardsToGo","possessionTeam","specialTeamsPlayType","specialTeamsResult","kickBlockerId","yardlineSide","yardlineNumber","gameClock","penaltyCodes","penaltyJerseyNumbers","penaltyYards","preSnapHomeScore","preSnapVisitorScore","passResult","kickLength","kickReturnYardage","playResult","absoluteYardlineNumber","height.x","weight.x","birthDate.x","collegeName.x","Position.x","kickerName","height.y","weight.y","birthDate.y","collegeName.y","Position.y","returnerName"
"11","29957",43524,2019100606,112,"(13:07) L.Edwards punts 52 yards to PHI 31, Center-T.Hennessy. D.Sproles ran ob at PHI 47 for 16 yards (D.Brown).",1,4,18,"NYJ","Punt","Return",NA,"NYJ",17,13:07:00,NA,NA,NA,0,0,NA,52,16,36,27,"6-4",209,"1992-04-27","Sam Houston State","P","Lachlan Edwards","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"12","29957",46810,2018122310,2622,"(9:32) T.Daniel punts 29 yards to PHI 12, Center-J.Weeks, fair catch by D.Sproles.",3,4,5,"HOU","Punt","Fair Catch",NA,"PHI",41,09:32:00,NA,NA,NA,13,16,NA,29,NA,29,69,"6-1",231,"12/08/1994","Tennessee","P","Trevor Daniel","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"13","29957",40600,2019090806,1377,"(5:59) T.Way punts 57 yards to PHI 26, Center-N.Sundberg. D.Sproles to PHI 38 for 12 yards (J.Holtz; T.Apke).",2,4,7,"WAS","Punt","Return",NA,"WAS",17,05:59:00,NA,NA,NA,0,17,NA,57,12,45,27,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"14","29957",40600,2019090806,3191,"(12:16) T.Way punts 56 yards to PHI 19, Center-N.Sundberg. D.Sproles to PHI 22 for 3 yards (D.Everett).",4,4,6,"WAS","Punt","Return",NA,"WAS",25,12:16:00,NA,NA,NA,29,20,NA,56,3,53,85,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"15","29957",37267,2019091513,742,"(3:49) M.Bosher punts 39 yards to PHI 43, Center-J.Harris, fair catch by D.Sproles.",1,4,15,"ATL","Punt","Fair Catch",NA,"ATL",18,03:49:00,NA,NA,NA,3,0,NA,39,NA,39,28,"72",208,"1987-10-18","Miami (Fla.)","P","Matt Bosher","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"16","29957",40600,2018120300,2247,"(13:28) T.Way punts 51 yards to PHI 25, Center-N.Sundberg, fair catch by D.Sproles.",3,4,11,"WAS","Punt","Fair Catch",NA,"WAS",24,13:28:00,NA,NA,NA,14,13,NA,51,NA,51,34,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"17","29957",40600,2018123012,1090,"(12:26) T.Way punts 42 yards to PHI 13, Center-A.East, fair catch by D.Sproles.",2,4,8,"WAS","Punt","Fair Catch",NA,"WAS",45,12:26:00,NA,NA,NA,0,3,NA,42,NA,42,55,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"18","29957",41420,2019110305,1793,"(2:13) P.O'Donnell punts 42 yards to PHI 33, Center-P.Scales. D.Sproles to PHI 35 for 2 yards (C.Patterson).",2,4,21,"CHI","Punt","Return",NA,"CHI",25,02:13:00,NA,NA,NA,12,0,NA,42,2,40,85,"6-4",212,"1991-02-22","Miami","P","Pat O'Donnell","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"19","29957",40600,2018120300,3332,"(10:11) T.Way punts 49 yards to PHI 26, Center-N.Sundberg. D.Sproles to PHI 27 for 1 yard (M.Nicholson).",4,4,10,"WAS","Punt","Return",NA,"WAS",25,10:11:00,NA,NA,NA,25,13,NA,49,1,48,85,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"20","29957",41420,2019110305,2067,"(:34) P.O'Donnell punts 46 yards to PHI 13, Center-P.Scales, fair catch by D.Sproles.",2,4,4,"CHI","Punt","Fair Catch",NA,"CHI",41,00:34:00,NA,NA,NA,12,0,NA,46,NA,46,69,"6-4",212,"1991-02-22","Miami","P","Pat O'Donnell","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"21","29957",43524,2019100606,2509,"(8:44) L.Edwards punts 45 yards to PHI 9, Center-T.Hennessy. D.Sproles to PHI 13 for 4 yards (T.Hennessy; T.Cannon).",3,4,15,"NYJ","Punt","Return",NA,"NYJ",46,08:44:00,NA,NA,NA,21,0,NA,45,4,41,64,"6-4",209,"1992-04-27","Sam Houston State","P","Lachlan Edwards","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"22","29957",40600,2018120300,547,"(5:24) T.Way punts 59 yards to PHI 12, Center-N.Sundberg. D.Sproles to PHI 16 for 4 yards (D.Johnson; J.Chesson).",1,4,6,"WAS","Punt","Return",NA,"WAS",29,05:24:00,NA,NA,NA,7,0,NA,59,4,55,39,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"23","29957",40600,2019090806,2533,"(5:32) T.Way punts 44 yards to PHI 30, Center-N.Sundberg. D.Sproles to PHI 47 for 17 yards (N.Sundberg).",3,4,9,"WAS","Punt","Return",NA,"WAS",26,05:32:00,NA,NA,NA,14,20,NA,44,17,27,36,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"24","29957",38815,2018121611,126,"(13:37) J.Hekker punts 65 yards to PHI 11, Center-J.McQuaide. D.Sproles to PHI 24 for 13 yards (J.Lawler).",1,4,11,"LA","Punt","Return",NA,"LA",24,13:37:00,NA,NA,NA,0,0,NA,65,13,52,86,"6-5",241,"1990-02-08","Oregon State","P","Johnny Hekker","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"25","29957",41420,2019110305,1152,"(10:26) P.O'Donnell punts 43 yards to PHI 38, Center-P.Scales, fair catch by D.Sproles.",2,4,16,"CHI","Punt","Fair Catch",NA,"CHI",19,10:26:00,NA,NA,NA,6,0,NA,43,NA,43,91,"6-4",212,"1991-02-22","Miami","P","Pat O'Donnell","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"26","29957",37267,2018090600,2599,"(10:22) M.Bosher punts 46 yards to PHI 28, Center-J.Overbaugh. D.Sproles to PHI 37 for 9 yards (F.Oluokun).",3,4,16,"ATL","Punt","Return",NA,"ATL",26,10:22:00,NA,NA,NA,3,6,NA,46,9,37,36,"72",208,"1987-10-18","Miami (Fla.)","P","Matt Bosher","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"27","29957",40600,2018120300,3816,"(3:16) T.Way punts 53 yards to PHI 25, Center-N.Sundberg, fair catch by D.Sproles.",4,4,24,"WAS","Punt","Fair Catch",NA,"WAS",22,03:16:00,NA,NA,NA,28,13,NA,53,NA,53,88,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"28","29957",43524,2019100606,1574,"(6:04) L.Edwards punts 49 yards to PHI 43, Center-T.Hennessy. D.Sproles to NYJ 49 for 8 yards (J.Bellamy; R.Griffin).",2,4,6,"NYJ","Punt","Return",NA,"NYJ",8,06:04:00,NA,NA,NA,14,0,NA,49,8,41,102,"6-4",209,"1992-04-27","Sam Houston State","P","Lachlan Edwards","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"29","29957",41420,2019110305,569,"(5:45) P.O'Donnell punts 48 yards to PHI 29, Center-P.Scales, fair catch by D.Sproles. Penalty on PHI-B.Scott, Running Into the Kicker, declined.",1,4,12,"CHI","Punt","Fair Catch",NA,"CHI",23,05:45:00,"RNK","PHI 35",0,3,0,NA,48,NA,48,33,"6-4",212,"1991-02-22","Miami","P","Pat O'Donnell","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"30","29957",37267,2018090600,1989,"(:44) M.Bosher punts 57 yards to PHI 17, Center-J.Overbaugh. D.Sproles to PHI 25 for 8 yards (B.Poole). PENALTY on PHI-L.Reynolds, Unnecessary Roughness, 12 yards, enforced at PHI 25.",2,4,8,"ATL","Punt","Return",NA,"ATL",26,00:44:00,"UNR","PHI 50",12,3,6,NA,57,8,61,36,"72",208,"1987-10-18","Miami (Fla.)","P","Matt Bosher","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"31","29957",46241,2019092600,2767,"(7:58) J.Scott punts 52 yards to PHI 16, Center-H.Bradley, fair catch by D.Sproles.",3,4,3,"GB","Punt","Fair Catch",NA,"GB",32,07:58:00,NA,NA,NA,20,27,NA,52,NA,52,78,"6-6",208,"1995-10-30","Alabama","P","J.K. Scott","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"32","29957",40600,2018123012,608,"(6:50) T.Way punts 39 yards to PHI 19, Center-A.East. D.Sproles to PHI 21 for 2 yards (A.Alexander).",1,4,14,"WAS","Punt","Return",NA,"WAS",42,06:50:00,NA,NA,NA,0,0,NA,39,2,37,68,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"33","29957",38138,2018120912,3568,"(5:36) (Punt formation) C.Jones punts 39 yards to PHI 44, Center-L.Ladouceur. D.Sproles to DAL 47 for 9 yards (D.Wilson).",4,4,14,"DAL","Punt","Return",NA,"DAL",17,05:36:00,NA,NA,NA,16,9,NA,39,9,30,27,"6-0",205,"1989-07-21","Carson-Newman","P","Chris Jones","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"34","29957",40600,2018123012,422,"(9:30) T.Way punts 56 yards to PHI 16, Center-A.East, fair catch by D.Sproles.",1,4,13,"WAS","Punt","Fair Catch",NA,"WAS",28,09:30:00,NA,NA,NA,0,0,NA,56,NA,56,82,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"35","29957",38815,2018121611,2543,"(9:16) J.Hekker punts 54 yards to PHI 26, Center-J.McQuaide, fair catch by D.Sproles.",3,4,2,"LA","Punt","Fair Catch",NA,"LA",20,09:16:00,NA,NA,NA,13,20,NA,54,NA,54,90,"6-5",241,"1990-02-08","Oregon State","P","Johnny Hekker","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"36","29957",37267,2018090600,973,"(14:18) M.Bosher punts 49 yards to PHI 40, Center-J.Overbaugh, fair catch by D.Sproles.",2,4,19,"ATL","Punt","Fair Catch",NA,"ATL",11,14:18:00,NA,NA,NA,0,3,NA,49,NA,49,21,"72",208,"1987-10-18","Miami (Fla.)","P","Matt Bosher","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"37","29957",40600,2018120300,2660,"(4:57) T.Way punts 34 yards to PHI 15, Center-N.Sundberg, fair catch by D.Sproles.",3,4,7,"WAS","Punt","Fair Catch",NA,"PHI",49,04:57:00,NA,NA,NA,14,13,NA,34,NA,34,61,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"38","29957",40113,2019092207,2535,"(7:09) S.Martin punts 36 yards to DET 49, Center-D.Muhlbach. D.Sproles to DET 47 for 2 yards (T.Wilson; J.Reeves-Maybin).",3,4,11,"DET","Punt","Return",NA,"DET",13,07:09:00,NA,NA,NA,10,20,NA,36,2,34,23,"6-1",211,"1990-02-27","Appalachian State","P","Sam Martin","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"39","29957",37267,2018090600,3868,"(5:04) M.Bosher punts 52 yards to PHI 19, Center-J.Overbaugh. D.Sproles to PHI 31 for 12 yards (E.Saubert; K.Ishmael). PENALTY on ATL-E.Saubert, Face Mask (15 Yards), 15 yards, enforced at PHI 31.",4,4,14,"ATL","Punt","Return",NA,"ATL",29,05:04:00,"FMM","ATL 85",-15,10,12,NA,52,12,25,81,"72",208,"1987-10-18","Miami (Fla.)","P","Matt Bosher","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"40","29957",46810,2018122310,128,"(13:46) T.Daniel punts 48 yards to PHI 12, Center-J.Weeks. D.Sproles to PHI 23 for 11 yards (J.Reid).",1,4,3,"HOU","Punt","Return",NA,"HOU",40,13:46:00,NA,NA,NA,0,0,NA,48,11,37,70,"6-1",231,"12/08/1994","Tennessee","P","Trevor Daniel","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"41","29957",41420,2019110305,3569,"(8:48) P.O'Donnell punts 41 yards to PHI 11, Center-P.Scales. D.Sproles MUFFS catch, touched at PHI 9, ball out of bounds at PHI 11.",4,4,9,"CHI","Punt","Muffed",NA,"CHI",48,08:48:00,NA,NA,NA,19,14,NA,43,NA,41,58,"6-4",212,"1991-02-22","Miami","P","Pat O'Donnell","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"42","29957",37267,2019091513,3440,"(11:48) M.Bosher punts 37 yards to PHI 27, Center-J.Harris, fair catch by D.Sproles.",4,4,19,"ATL","Punt","Fair Catch",NA,"ATL",36,11:48:00,NA,NA,NA,17,12,NA,37,NA,37,46,"72",208,"1987-10-18","Miami (Fla.)","P","Matt Bosher","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"43","29957",37267,2019091513,962,"(:40) M.Bosher punts 42 yards to PHI 49, Center-J.Harris. D.Sproles to ATL 43 for 8 yards (L.Stocker).",1,4,10,"ATL","Punt","Return",NA,"ATL",9,00:40:00,NA,NA,NA,3,0,NA,42,8,34,19,"72",208,"1987-10-18","Miami (Fla.)","P","Matt Bosher","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"44","29957",40600,2019090806,2742,"(4:50) T.Way punts 58 yards to PHI 15, Center-N.Sundberg. D.Sproles to PHI 29 for 14 yards (C.Holcomb).",3,4,10,"WAS","Punt","Return",NA,"WAS",27,04:50:00,NA,NA,NA,21,20,NA,58,14,44,37,"6-1",220,"1990-04-18","Oklahoma","P","Tress Way","66",190,"1983-06-20","Kansas State","RB","Darren Sproles"
"45","31517",46903,2018093003,1327,"(7:39) C.Bojorquez punts 33 yards to GB 11, Center-R.Ferguson, fair catch by T.Williams.",2,4,5,"BUF","Punt","Fair Catch",NA,"GB",44,07:39:00,NA,NA,NA,13,0,NA,33,NA,33,54,"6-0",208,"1996-09-13","New Mexico","P","Corey Bojorquez","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"46","31517",45296,2018111103,576,"(4:52) M.Haack punts 39 yards to GB 31, Center-J.Denney. T.Williams to 50 for 19 yards (A.Derby). FUMBLES (A.Derby), RECOVERED by MIA-L.Carroo at 50. L.Carroo to 50 for no gain (J.Jackson).",1,4,4,"MIA","Punt","Return",NA,"MIA",30,04:52:00,NA,NA,NA,7,0,NA,39,19,20,80,"6-0",205,"1994-07-25","Arizona State","P","Matt Haack","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"47","31517",46903,2018093003,799,"(1:36) C.Bojorquez punts 36 yards to GB 11, Center-R.Ferguson. T.Williams to GB 17 for 6 yards (R.Humber, L.Pitts).",1,4,5,"BUF","Punt","Return",NA,"GB",47,01:36:00,NA,NA,NA,6,0,NA,36,6,30,63,"6-0",208,"1996-09-13","New Mexico","P","Corey Bojorquez","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"48","31517",38815,2018102810,724,"(3:22) J.Hekker punts 51 yards to GB 19, Center-J.McQuaide. T.Williams to GB 32 for 13 yards (J.Lawler; S.Shields).",1,4,20,"LA","Punt","Return",NA,"LA",30,03:22:00,NA,NA,NA,0,7,NA,51,13,38,80,"6-5",241,"1990-02-08","Oregon State","P","Johnny Hekker","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"49","31517",40113,2018100704,2023,"(1:37) S.Martin punts 43 yards to GB 15, Center-D.Muhlbach, fair catch by T.Williams.",2,4,11,"DET","Punt","Fair Catch",NA,"DET",42,01:37:00,NA,NA,NA,17,0,NA,43,NA,43,68,"6-1",211,"1990-02-27","Appalachian State","P","Sam Martin","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"50","31517",40113,2018100704,1568,"(7:27) S.Martin punts 37 yards to GB 12, Center-D.Muhlbach, fair catch by T.Williams.",2,4,5,"DET","Punt","Fair Catch",NA,"GB",49,07:27:00,NA,NA,NA,17,0,NA,37,NA,37,59,"6-1",211,"1990-02-27","Appalachian State","P","Sam Martin","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"51","31517",42508,2018101500,3265,"(5:45) B.Pinion punts 45 yards to GB 42, Center-K.Nelson. T.Williams to GB 48 for 6 yards (A.Colbert).",4,4,1,"SF","Punt","Return",NA,"SF",13,05:45:00,NA,NA,NA,23,30,NA,45,6,39,97,"6-5",240,"1994-06-01","Clemson","P","Bradley Pinion","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"52","31517",42907,2018112510,2450,"(10:07) M.Wile punts 59 yards to GB 12, Center-K.McDermott. T.Williams to GB 35 for 23 yards (K.Brothers).",3,4,6,"MIN","Punt","Return",NA,"MIN",29,10:07:00,NA,NA,NA,14,14,NA,59,23,36,81,"6-2",225,"06/20/1992","Michigan","P","Matt Wile","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"53","31517",40113,2018100704,3913,"(5:59) S.Martin punts 53 yards to GB 33, Center-D.Muhlbach. T.Williams to GB 40 for 7 yards (J.Reeves-Maybin). PENALTY on GB-J.Jackson, Illegal Block Above the Waist, 10 yards, enforced at GB 35.",4,4,21,"DET","Punt","Return",NA,"DET",14,05:59:00,"IBW","GB 37",10,31,20,NA,53,2,61,96,"6-1",211,"1990-02-27","Appalachian State","P","Sam Martin","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"54","31517",46903,2018093003,1173,"(9:31) C.Bojorquez punts 48 yards to GB 42, Center-R.Ferguson. T.Williams to GB 43 for 1 yard (T.Jones).",2,4,15,"BUF","Punt","Return",NA,"BUF",10,09:31:00,NA,NA,NA,13,0,NA,48,1,47,100,"6-0",208,"1996-09-13","New Mexico","P","Corey Bojorquez","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"55","31517",40113,2018123002,117,"(14:09) S.Martin punts 53 yards to GB 21, Center-D.Muhlbach, fair catch by T.Williams.",1,4,9,"DET","Punt","Fair Catch",NA,"DET",26,14:09:00,NA,NA,NA,0,0,NA,53,NA,53,84,"6-1",211,"1990-02-27","Appalachian State","P","Sam Martin","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"56","31517",38815,2018102810,2252,"(14:05) J.Hekker punts 48 yards to GB 27, Center-J.McQuaide, fair catch by T.Williams.",3,4,5,"LA","Punt","Fair Catch",NA,"LA",25,14:05:00,NA,NA,NA,8,10,NA,48,NA,48,35,"6-5",241,"1990-02-08","Oregon State","P","Johnny Hekker","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"57","31517",46903,2018093003,2899,"(15:00) C.Bojorquez punts 39 yards to GB 32, Center-R.Ferguson. T.Williams to GB 33 for 1 yard (T.Jones).",4,4,19,"BUF","Punt","Return",NA,"BUF",29,15:00:00,NA,NA,NA,19,0,NA,39,1,38,39,"6-0",208,"1996-09-13","New Mexico","P","Corey Bojorquez","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"58","31517",43524,2018122309,3309,"(14:17) L.Edwards punts 41 yards to GB 39, Center-T.Hennessy, fair catch by T.Williams.",4,4,11,"NYJ","Punt","Fair Catch",NA,"NYJ",20,14:17:00,NA,NA,NA,35,20,NA,41,NA,41,30,"6-4",209,"1992-04-27","Sam Houston State","P","Lachlan Edwards","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"59","31517",46903,2018093003,126,"(12:50) C.Bojorquez punts 46 yards to GB 26, Center-R.Ferguson. T.Williams to GB 35 for 9 yards (L.Pitts).",1,4,1,"BUF","Punt","Return",NA,"BUF",28,12:50:00,NA,NA,NA,0,0,NA,46,9,37,38,"6-0",208,"1996-09-13","New Mexico","P","Corey Bojorquez","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"60","31517",42508,2018101500,696,"(5:00) B.Pinion punts 34 yards to GB 21, Center-K.Nelson, fair catch by T.Williams.",1,4,2,"SF","Punt","Fair Catch",NA,"SF",45,05:00:00,NA,NA,NA,10,7,NA,34,NA,34,65,"6-5",240,"1994-06-01","Clemson","P","Bradley Pinion","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"61","31517",46903,2018093003,2692,"(2:50) C.Bojorquez punts 49 yards to GB 16, Center-R.Ferguson. T.Williams to GB 19 for 3 yards (L.Alexander). Penalty on GB-J.Jones, Defensive Offside, declined.",3,4,11,"BUF","Punt","Return",NA,"BUF",35,02:50:00,"DOF","GB 27",0,19,0,NA,49,3,46,75,"6-0",208,"1996-09-13","New Mexico","P","Corey Bojorquez","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"62","31517",42508,2018101500,3476,"(3:08) B.Pinion punts 47 yards to GB 42, Center-K.Nelson, fair catch by T.Williams.",4,4,22,"SF","Punt","Fair Catch",NA,"SF",11,03:08:00,NA,NA,NA,23,30,NA,47,NA,47,99,"6-5",240,"1994-06-01","Clemson","P","Bradley Pinion","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"63","31517",38815,2018102810,1069,"(12:22) J.Hekker punts 47 yards to GB 18, Center-J.McQuaide, fair catch by T.Williams.",2,4,20,"LA","Punt","Fair Catch",NA,"LA",35,12:22:00,NA,NA,NA,0,10,NA,47,NA,47,45,"6-5",241,"1990-02-08","Oregon State","P","Johnny Hekker","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"64","31517",46903,2018093003,439,"(8:01) C.Bojorquez punts 50 yards to GB 44, Center-R.Ferguson, fair catch by T.Williams.",1,4,10,"BUF","Punt","Fair Catch",NA,"BUF",6,08:01:00,NA,NA,NA,0,0,NA,50,NA,50,16,"6-0",208,"1996-09-13","New Mexico","P","Corey Bojorquez","5-11",192,"1983-03-16","Louisiana Tech","CB","Tramon Williams"
"65","32202",45153,2020100401,771,"(5:05) R.Sanchez punts 51 yards to CHI 31, Center-L.Rhodes. T.Ginn pushed ob at CHI 41 for 10 yards (G.Odum).",1,4,5,"IND","Punt","Return",NA,"IND",18,05:05:00,NA,NA,NA,0,7,NA,51,10,41,28,"6-0",195,"1994-09-08","Hawaii","P","Rigoberto Sanchez","5-11",180,"1985-04-12","Ohio State","WR","Ted Ginn"
"66","32202",53146,2020101800,932,"(14:17) J.Charlton punts 48 yards to CHI 40, Center-J.Jansen. T.Ginn MUFFS catch, and recovers at CHI 39. T.Ginn to CHI 39 for no gain (T.Cannon).",2,4,9,"CAR","Punt","Muffed",NA,"CAR",12,14:17:00,NA,NA,NA,3,7,NA,49,0,49,22,"6-5",190,"1997-04-07","South Carolina","P","Joseph Charlton","5-11",180,"1985-04-12","Ohio State","WR","Ted Ginn"
